votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
504,78.26,0,1,0,ultimo,405,333,170
666,73.75,2,1,0,ultimo,406,367,296
631,73.8,1,0,0,ultimo,407,370,260
612,74.36,1,1,0,ultimo,408,327,283
459,76.12,0,0,0,ultimo,409,230,229
574,74.26,1,5,0,ultimo,410,244,324
537,72.47,1,2,0,ultimo,411,304,230
576,74.71,2,0,0,ultimo,412,356,218
499,71.18,4,0,0,ultimo,413,229,266
500,72.05,0,1,0,ultimo,414,258,241
486,72.21,2,1,0,ultimo,415,269,214
617,74.34,0,1,0,ultimo,416,284,332
642,75.53,0,1,0,ultimo,417,356,285
507,72.22,1,4,0,ultimo,418,186,316
404,61.21,2,0,0,ultimo,419,133,269
458,67.55,5,1,0,ultimo,420,176,276
273,72.22,0,0,0,ultimo,421,115,158
123,,2,0,0,ultimo,422,51,70
122,0.0,0,1,0,ultimo,423,43,78
110,0.0,0,2,0,ultimo,424,48,60
342,59.27,1,0,0,ultimo,425,154,187
416,66.24,2,2,0,ultimo,426,171,241
470,67.92,0,1,0,ultimo,427,195,274
639,72.04,0,1,0,ultimo,428,251,387
488,71.35,0,0,2,ultimo,429,171,315
508,61.28,2,1,0,ultimo,430,191,314
440,64.8,0,2,0,ultimo,431,141,297
385,67.78,0,1,0,ultimo,432,156,228
484,62.13,5,2,0,ultimo,433,169,308
471,65.78,1,0,0,ultimo,434,180,290
380,64.63,2,0,0,ultimo,435,141,237
430,68.69,2,0,0,ultimo,436,148,280
447,64.22,1,1,0,ultimo,437,141,304
482,66.94,1,0,0,ultimo,438,178,303
422,70.22,0,0,0,ultimo,439,132,290
452,66.77,0,1,0,ultimo,440,160,291
418,68.86,0,0,0,ultimo,441,146,272
431,63.76,1,2,0,ultimo,442,176,252
478,70.61,3,1,0,ultimo,443,194,280
392,69.38,0,0,0,ultimo,444,148,244
492,70.69,0,0,0,ultimo,445,156,336
438,68.01,2,3,0,ultimo,446,135,298
519,67.67,5,1,0,ultimo,447,195,318
541,66.96,3,0,0,ultimo,448,186,352
417,59.83,2,1,0,ultimo,449,147,267
58,31.87,4,2,0,ultimo,450,21,31
33,24.26,1,1,0,ultimo,451,16,15
611,69.91,4,0,0,ultimo,452,236,371
457,70.52,3,0,0,ultimo,453,132,322
491,69.74,2,0,0,ultimo,454,145,344
403,60.42,3,0,0,ultimo,455,140,260
458,69.82,1,1,0,ultimo,456,165,291
416,62.56,1,3,0,ultimo,457,111,301
407,64.3,2,1,0,ultimo,458,112,292
494,72.86,1,1,0,ultimo,459,155,337
493,64.44,1,0,0,ultimo,460,171,321
564,64.24,3,1,0,ultimo,461,126,434
384,68.09,0,1,0,ultimo,462,128,255
529,71.29,0,1,0,ultimo,463,204,324
494,67.76,2,1,0,ultimo,464,197,294
357,61.87,0,1,0,ultimo,465,134,222
462,61.35,2,1,0,ultimo,466,164,295
491,64.27,1,1,0,ultimo,467,216,273
344,66.28,1,2,0,ultimo,468,104,237
452,61.58,2,0,0,ultimo,469,173,277
482,62.92,2,0,0,ultimo,470,165,315
356,59.53,2,0,0,ultimo,471,112,242
510,63.35,1,1,0,ultimo,472,161,347
412,68.55,0,1,0,ultimo,473,144,267
454,62.71,0,1,0,ultimo,474,134,319
470,66.29,3,0,0,ultimo,475,176,291
332,56.95,2,1,0,ultimo,476,120,209
423,62.57,3,1,0,ultimo,477,137,282
343,48.79,0,0,0,ultimo,478,131,212
293,51.58,2,0,0,ultimo,479,95,196
341,55.72,2,0,0,ultimo,480,93,246
322,54.21,0,0,0,ultimo,481,92,230
414,63.3,0,0,0,ultimo,482,121,293
372,59.33,1,0,0,ultimo,483,130,241
336,51.38,2,0,0,ultimo,484,106,228
360,61.64,0,0,0,ultimo,485,104,256
379,53.99,1,0,0,ultimo,486,149,229
257,55.99,2,0,0,ultimo,487,79,176
268,56.9,2,0,0,ultimo,488,84,182
358,58.21,0,0,0,ultimo,489,125,233
221,41.46,0,1,0,ultimo,490,63,157
489,60.82,1,0,0,ultimo,491,152,336
405,54.88,1,0,0,ultimo,492,143,261
464,63.22,2,0,0,ultimo,493,181,281
475,67.66,3,0,0,ultimo,494,157,315
362,57.28,1,0,0,ultimo,495,109,252
301,60.08,1,0,0,ultimo,496,126,174
377,59.18,1,1,0,ultimo,497,138,237
461,60.9,3,1,0,ultimo,498,186,271
450,59.92,2,2,0,ultimo,499,152,294
355,55.82,2,1,0,ultimo,500,117,235
339,60.97,0,1,0,ultimo,501,131,207
349,67.24,2,1,0,ultimo,502,123,223
372,56.19,1,1,0,ultimo,503,139,231
382,60.93,3,0,0,ultimo,504,129,250
397,59.52,1,0,0,ultimo,505,165,231
545,59.96,2,1,0,ultimo,506,192,350
315,58.44,2,2,0,ultimo,507,119,192
419,62.72,3,1,0,ultimo,508,141,274
469,61.31,3,2,0,ultimo,509,181,283
347,58.12,2,0,0,ultimo,510,118,227
389,55.97,3,0,0,ultimo,511,135,251
454,55.71,0,1,0,ultimo,512,199,254
386,61.27,0,2,0,ultimo,513,131,253
377,61.2,4,2,0,ultimo,514,128,243
403,59.09,3,1,0,ultimo,515,153,246
429,63.09,3,0,0,ultimo,516,160,266
448,59.97,1,0,0,ultimo,517,132,315
390,59.45,2,1,0,ultimo,518,158,229
440,63.95,0,0,0,ultimo,519,162,278
351,57.26,3,3,0,ultimo,520,101,244
426,62.56,2,1,0,ultimo,521,127,296
415,68.03,2,2,0,ultimo,522,162,249
536,67.51,0,0,0,ultimo,523,187,349
75,60.48,0,0,0,ultimo,524,28,47
352,50.79,3,0,0,ultimo,525,136,213
381,56.53,2,0,0,ultimo,526,148,231
407,57.81,2,0,0,ultimo,527,146,259
351,53.59,0,0,0,ultimo,528,112,239
356,56.78,0,0,0,ultimo,529,126,230
297,56.04,1,1,0,ultimo,530,91,204
279,53.14,1,2,0,ultimo,531,91,185
339,58.85,2,3,0,ultimo,532,104,230
320,59.81,0,0,0,ultimo,533,109,211
420,61.58,0,0,0,ultimo,534,132,288
330,56.51,2,0,0,ultimo,535,101,227
