"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 259";"";"17,56";"48,39";"53,94";"62,37"
"SEZIONE 262";"";"17,30";"41,10";"50,43";"61,47"
"SEZIONE 263";"";"16,13";"49,00";"60,13";"74,88"
"SEZIONE 264";"";"17,16";"47,39";"57,73";"70,00"
"SEZIONE 265";"";"18,07";"42,79";"54,21";"67,52"
"SEZIONE 269";"";"16,44";"46,21";"57,70";"71,72"
"SEZIONE 271";"";"22,88";"53,70";"63,66";"77,39"
"SEZIONE 272";"";"17,37";"40,67";"48,05";"55,28"
"SEZIONE 274";"";"18,44";"52,79";"60,91";"71,24"
"SEZIONE 277";"";"19,20";"45,71";"50,86";"60,11"
"SEZIONE 279";"";"15,68";"48,35";"57,90";"70,87"
"SEZIONE 280";"";"20,55";"48,20";"57,57";"69,47"
"SEZIONE 281";"";"17,85";"47,68";"57,29";"69,04"
"SEZIONE 282";"";"16,50";"38,94";"42,57";"51,49"
"SEZIONE 284";"";"17,84";"48,83";"55,24";"65,88"
"SEZIONE 286";"";"11,55";"37,14";"46,91";"60,66"
"SEZIONE 288";"";"12,74";"35,08";"42,41";"54,45"
"SEZIONE 291";"";"16,62";"45,99";"55,59";"67,77"
"SEZIONE 292";"";"21,69";"46,13";"55,59";"67,81"
"SEZIONE 294";"";"19,52";"50,13";"57,93";"69,77"
"SEZIONE 295";"";"15,72";"45,39";"51,90";"63,01"
"SEZIONE 297";"";"13,01";"38,70";"42,93";"50,41"
"SEZIONE 299";"";"15,33";"44,02";"52,38";"66,20"
"SEZIONE 300";"";"18,63";"45,72";"54,82";"67,50"
"SEZIONE 301";"";"14,94";"43,62";"52,89";"65,32"
"SEZIONE 303";"";"17,26";"43,45";"52,23";"64,58"
"SEZIONE 305";"";"18,55";"45,44";"52,25";"64,32"
"SEZIONE 306";"";"16,27";"46,93";"56,00";"67,33"
"SEZIONE 309";"";"19,27";"48,62";"59,33";"71,71"
"SEZIONE 311";"";"24,51";"48,27";"58,56";"69,41"
"SEZIONE 313";"";"18,46";"46,34";"55,02";"64,56"
"SEZIONE 315";"";"14,76";"45,05";"51,45";"64,23"
"SEZIONE 316";"";"12,54";"37,76";"44,63";"57,61"
"SEZIONE 317";"";"28,50";"57,50";"67,00";"81,75"
"SEZIONE 319";"";"17,50";"47,02";"55,65";"68,77"
"SEZIONE 320";"";"15,79";"46,62";"55,26";"66,35"
"SEZIONE 321";"";"19,15";"49,28";"64,58";"75,36"
"SEZIONE 322";"";"18,20";"52,98";"62,01";"72,05"
"SEZIONE 323";"";"17,79";"47,20";"55,52";"70,73"
"SEZIONE 324";"";"19,10";"55,06";"65,45";"76,12"
"SEZIONE 325";"";"21,42";"52,25";"60,71";"71,76"
"SEZIONE 326";"";"18,88";"50,56";"59,20";"67,52"
"SEZIONE 327";"";"20,81";"47,91";"57,12";"71,23"
"SEZIONE 329";"";"19,41";"50,41";"58,46";"68,28"
"SEZIONE 331";"";"16,69";"49,35";"57,81";"68,39"
"SEZIONE 333";"";"12,73";"41,36";"54,09";"70,23"
"SEZIONE 334";"";"15,56";"45,60";"60,07";"71,89"
"SEZIONE 335";"";"18,20";"47,55";"57,68";"67,80"
"SEZIONE 336";"";"14,33";"44,50";"57,68";"70,41"
"SEZIONE 337";"";"19,18";"47,54";"58,32";"71,63"
"SEZIONE 338";"";"15,30";"42,98";"54,74";"68,77"
"SEZIONE 340";"";"12,35";"30,09";"34,95";"46,39"
"SEZIONE 342";"";"16,64";"48,54";"58,53";"70,87"
"SEZIONE 343";"";"19,44";"47,73";"55,29";"63,39"
"SEZIONE 345";"";"17,36";"45,85";"56,87";"70,34"
"SEZIONE 346";"";"18,40";"46,26";"56,07";"70,92"
"SEZIONE 348";"";"16,54";"49,10";"57,24";"70,03"
"SEZIONE 350";"";"16,99";"45,73";"56,41";"71,47"
"SEZIONE 351";"";"17,06";"49,37";"56,31";"69,74"
"SEZIONE 353";"";"16,32";"47,54";"58,81";"73,96"
"SEZIONE 354";"";"15,74";"46,48";"54,42";"68,52"
"SEZIONE 357";"";"22,13";"55,53";"62,42";"74,95"
"SEZIONE 362";"";"18,51";"51,13";"61,80";"73,19"
"SEZIONE 363";"";"17,37";"50,23";"59,21";"69,70"
"SEZIONE 364";"";"17,66";"50,85";"60,85";"72,34"
