"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 310";"";"10,07";"18,78";"22,72"
"SEZIONE 311";"";"3,72";"17,15";"21,84"
"SEZIONE 312";"";"4,32";"13,33";"17,30"
"SEZIONE 313";"";"7,57";"13,35";"18,13"
"SEZIONE 314";"";"7,00";"19,71";"22,31"
"SEZIONE 315";"";"9,42";"20,78";"23,82"
"SEZIONE 316";"";"8,57";"19,01";"22,27"
"SEZIONE 317";"";"5,91";"21,52";"24,33"
"SEZIONE 318";"";"7,32";"17,47";"19,97"
"SEZIONE 319";"";"3,39";"12,69";"15,65"
"SEZIONE 320";"";"16,79";"36,30";"42,90"
"SEZIONE 321";"";"8,02";"23,44";"27,29"
"SEZIONE 322";"";"7,57";"18,56";"24,54"
"SEZIONE 323";"";"8,33";"21,19";"26,41"
"SEZIONE 324";"";"5,02";"16,26";"22,64"
"SEZIONE 325";"";"13,99";"33,23";"40,43"
"SEZIONE 326";"";"10,68";"29,99";"35,65"
"SEZIONE 327";"";"10,07";"25,48";"31,85"
"SEZIONE 328";"";"10,73";"31,39";"36,75"
"SEZIONE 329";"";"7,29";"18,40";"23,26"
"SEZIONE 330";"";"2,82";"12,03";"18,23"
"SEZIONE 331";"";"11,69";"29,32";"54,07"
"SEZIONE 332";"";"17,60";"44,76";"51,50"
"SEZIONE 333";"";"18,02";"39,21";"45,69"
"SEZIONE 334";"";"10,58";"29,75";"37,27"
"SEZIONE 335";"";"11,84";"30,09";"38,96"
"SEZIONE 336";"";"13,75";"40,10";"50,64"
"SEZIONE 337";"";"17,60";"41,92";"48,62"
"SEZIONE 338";"";"16,91";"40,41";"50,72"
"SEZIONE 339";"";"18,45";"44,46";"53,23"
"SEZIONE 340";"";"16,25";"47,92";"56,94"
"SEZIONE 341";"";"20,74";"48,48";"56,37"
"SEZIONE 342";"";"18,74";"46,27";"55,78"
"SEZIONE 343";"";"18,61";"50,00";"59,49"
"SEZIONE 344";"";"16,64";"43,11";"51,98"
"SEZIONE 345";"";"20,09";"48,74";"59,02"
"SEZIONE 346";"";"20,32";"50,12";"58,35"
"SEZIONE 347";"";"16,44";"47,19";"56,55"
"SEZIONE 348";"";"16,12";"42,89";"53,43"
"SEZIONE 349";"";"20,64";"45,76";"53,78"
"SEZIONE 350";"";"15,41";"42,63";"52,86"
"SEZIONE 351";"";"15,67";"46,08";"56,26"
"SEZIONE 352";"";"18,55";"44,21";"52,02"
"SEZIONE 353";"";"19,75";"47,67";"55,22"
"SEZIONE 354";"";"19,57";"42,27";"53,76"
"SEZIONE 355";"";"18,48";"46,82";"56,30"
"SEZIONE 356";"";"23,63";"49,67";"59,63"
"SEZIONE 357";"";"17,99";"47,37";"57,88"
"SEZIONE 358";"";"16,74";"44,08";"53,57"
"SEZIONE 359";"";"21,49";"47,71";"56,23"
"SEZIONE 360";"";"18,92";"43,86";"50,63"
"SEZIONE 361";"";"20,31";"45,84";"55,01"
"SEZIONE 362";"";"21,91";"45,10";"55,28"
"SEZIONE 363";"";"16,24";"44,87";"55,24"
"SEZIONE 364";"";"17,58";"43,49";"51,93"
"SEZIONE 365";"";"18,55";"49,11";"58,53"
"SEZIONE 366";"";"21,30";"49,58";"56,07"
"SEZIONE 367";"";"18,87";"48,39";"58,16"
"SEZIONE 368";"";"18,33";"45,36";"55,58"
"SEZIONE 369";"";"18,67";"43,30";"54,80"
"SEZIONE 370";"";"19,75";"48,18";"62,75"
"SEZIONE 371";"";"18,56";"43,83";"52,10"
"SEZIONE 372";"";"15,81";"45,10";"54,48"
"SEZIONE 373";"";"20,34";"47,04";"56,30"
"SEZIONE 374";"";"18,32";"45,88";"54,30"
"SEZIONE 375";"";"22,62";"48,19";"56,45"
"SEZIONE 376";"";"20,92";"48,43";"62,11"
"SEZIONE 377";"";"19,38";"46,73";"59,18"
"SEZIONE 378";"";"16,62";"46,05";"57,36"
"SEZIONE 379";"";"15,64";"44,33";"54,56"
"SEZIONE 380";"";"20,49";"43,12";"54,73"
