"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 224";"";"18,16";"48,43";"56,30";"69,49"
"SEZIONE 225";"";"20,35";"51,26";"59,91";"71,77"
"SEZIONE 226";"";"17,75";"50,62";"60,02";"71,09"
"SEZIONE 227";"";"24,64";"52,96";"59,20";"72,48"
"SEZIONE 228";"";"17,70";"46,91";"55,27";"66,91"
"SEZIONE 229";"";"19,80";"50,51";"59,50";"73,49"
"SEZIONE 230";"";"15,94";"41,18";"64,17";"66,20"
"SEZIONE 231";"";"19,04";"52,12";"60,28";"73,88"
"SEZIONE 232";"";"19,31";"45,63";"53,38";"65,19"
"SEZIONE 233";"";"18,69";"47,75";"57,93";"71,82"
"SEZIONE 234";"";"14,68";"49,22";"59,98";"71,33"
"SEZIONE 235";"";"17,78";"52,33";"61,57";"75,77"
"SEZIONE 236";"";"20,58";"52,45";"61,23";"73,40"
"SEZIONE 237";"";"18,94";"47,53";"56,94";"72,74"
"SEZIONE 238";"";"17,75";"54,20";"62,84";"75,03"
"SEZIONE 239";"";"18,96";"53,72";"61,51";"75,40"
"SEZIONE 240";"";"19,90";"49,10";"58,14";"72,50"
"SEZIONE 241";"";"14,63";"46,13";"51,63";"61,38"
"SEZIONE 242";"";"15,21";"44,89";"45,13";"57,91"
"SEZIONE 243";"";"19,71";"49,54";"57,79";"72,45"
"SEZIONE 244";"";"18,52";"53,93";"60,79";"73,17"
"SEZIONE 245";"";"16,97";"46,38";"52,38";"65,27"
"SEZIONE 246";"";"20,80";"53,92";"63,67";"80,10"
"SEZIONE 247";"";"25,00";"54,02";"60,49";"76,44"
"SEZIONE 248";"";"18,67";"48,70";"57,77";"68,30"
"SEZIONE 249";"";"22,56";"52,07";"60,24";"73,78"
"SEZIONE 250";"";"21,93";"51,57";"59,66";"74,15"
"SEZIONE 251";"";"22,27";"53,75";"62,61";"78,18"
"SEZIONE 252";"";"18,63";"43,85";"50,93";"63,11"
"SEZIONE 253";"";"22,07";"45,15";"54,18";"69,23"
"SEZIONE 254";"";"16,83";"38,55";"43,98";"57,72"
"SEZIONE 255";"";"16,40";"42,91";"49,39";"59,72"
"SEZIONE 256";"";"14,36";"40,22";"48,64";"66,46"
"SEZIONE 257";"";"22,02";"47,90";"55,39";"73,21"
"SEZIONE 258";"";"17,23";"41,85";"50,52";"62,20"
"SEZIONE 259";"";"16,45";"45,12";"53,28";"66,23"
"SEZIONE 260";"";"15,73";"36,80";"41,15";"52,95"
"SEZIONE 261";"";"18,30";"41,73";"49,93";"63,10"
"SEZIONE 262";"";"19,84";"51,84";"61,55";"74,13"
"SEZIONE 263";"";"18,26";"49,42";"59,50";"74,19"
"SEZIONE 264";"";"16,12";"42,08";"47,40";"63,39"
"SEZIONE 265";"";"19,87";"47,91";"57,89";"69,92"
"SEZIONE 266";"";"18,28";"49,47";"61,24";"72,58"
"SEZIONE 267";"";"17,89";"52,28";"62,46";"76,49"
"SEZIONE 268";"";"16,22";"41,95";"55,48";"60,85"
"SEZIONE 269";"";"18,57";"47,55";"55,96";"69,64"
"SEZIONE 270";"";"15,69";"43,79";"55,85";"68,27"
"SEZIONE 271";"";"14,74";"36,01";"42,04";"54,10"
"SEZIONE 272";"";"16,05";"28,40";"32,98";"42,68"
"SEZIONE 273";"";"13,29";"32,31";"36,92";"47,97"
"SEZIONE 274";"";"16,96";"39,94";"44,53";"54,83"
"SEZIONE 275";"";"12,46";"28,28";"33,67";"44,95"
"SEZIONE 276";"";"11,20";"31,44";"34,97";"43,56"
"SEZIONE 277";"";"16,37";"41,62";"49,74";"64,18"
"SEZIONE 278";"";"17,81";"46,33";"54,63";"69,92"
"SEZIONE 279";"";"12,28";"24,85";"28,59";"40,57"
"SEZIONE 280";"";"11,07";"25,26";"28,14";"36,56"
"SEZIONE 281";"";"14,21";"27,63";"30,79";"40,39"
"SEZIONE 282";"";"14,31";"28,77";"32,19";"43,39"
"SEZIONE 283";"";"14,98";"36,14";"41,76";"52,25"
"SEZIONE 284";"";"13,55";"38,39";"43,03";"55,26"
"SEZIONE 285";"";"17,69";"51,28";"59,35";"71,60"
"SEZIONE 286";"";"17,76";"49,50";"57,71";"69,70"
"SEZIONE 287";"";"17,60";"45,90";"58,86";"69,56"
"SEZIONE 288";"";"20,09";"49,53";"55,54";"68,83"
"SEZIONE 289";"";"23,13";"53,97";"61,68";"72,72"
"SEZIONE 290";"";"15,65";"51,86";"58,10";"72,10"
"SEZIONE 291";"";"20,83";"48,65";"57,11";"71,20"
"SEZIONE 292";"";"19,78";"50,24";"53,91";"66,67"
"SEZIONE 293";"";"18,02";"51,40";"60,75";"70,81"
"SEZIONE 294";"";"19,50";"56,50";"65,63";"79,10"
"SEZIONE 295";"";"23,90";"50,47";"60,22";"75,00"
"SEZIONE 296";"";"21,21";"50,46";"55,99";"70,09"
"SEZIONE 297";"";"19,74";"50,64";"60,26";"72,44"
"SEZIONE 298";"";"19,81";"50,90";"60,50";"72,99"
"SEZIONE 299";"";"21,60";"55,84";"64,64";"75,20"
"SEZIONE 300";"";"20,53";"52,74";"61,81";"75,18"
"SEZIONE 301";"";"18,42";"49,53";"60,35";"69,83"
"SEZIONE 302";"";"21,10";"52,74";"61,37";"74,38"
"SEZIONE 303";"";"20,55";"47,96";"55,98";"66,62"
"SEZIONE 304";"";"16,19";"45,43";"55,32";"71,51"
"SEZIONE 305";"";"22,97";"51,83";"62,68";"74,80"
"SEZIONE 306";"";"22,37";"48,95";"56,73";"67,10"
"SEZIONE 307";"";"16,02";"50,59";"52,37";"63,50"
"SEZIONE 308";"";"18,98";"51,96";"57,59";"70,55"
"SEZIONE 309";"";"17,29";"51,05";"58,53";"72,20"
"SEZIONE 310";"";"19,49";"52,72";"61,92";"74,58"
"SEZIONE 311";"";"16,04";"39,66";"45,73";"58,40"
"SEZIONE 312";"";"18,43";"48,04";"56,11";"67,63"
"SEZIONE 313";"";"18,07";"43,37";"49,00";"62,78"
"SEZIONE 314";"";"18,76";"44,73";"53,14";"66,91"
"SEZIONE 315";"";"17,54";"43,86";"49,36";"60,94"
"SEZIONE 316";"";"17,67";"43,82";"48,41";"60,54"
"SEZIONE 317";"";"19,05";"44,96";"53,16";"65,23"
"SEZIONE 318";"";"19,91";"49,14";"55,16";"68,19"
"SEZIONE 319";"";"11,95";"32,39";"35,53";"47,17"
"SEZIONE 320";"";"15,99";"31,82";"37,71";"49,83"
"SEZIONE 321";"";"12,18";"27,62";"31,05";"41,34"
"SEZIONE 322";"";"16,40";"43,39";"49,74";"59,79"
"SEZIONE 323";"";"14,29";"40,67";"46,85";"57,14"
"SEZIONE 324";"";"13,22";"38,22";"44,40";"60,06"
"SEZIONE 325";"";"16,47";"39,12";"45,44";"57,35"
"SEZIONE 326";"";"15,73";"39,25";"43,77";"55,76"
"SEZIONE 327";"";"15,58";"36,80";"46,32";"52,96"
"SEZIONE 328";"";"17,63";"44,08";"51,04";"61,25"
"SEZIONE 329";"";"17,45";"47,99";"55,57";"68,43"
"SEZIONE 330";"";"16,19";"48,81";"56,09";"67,38"
"SEZIONE 331";"";"19,19";"48,17";"55,19";"70,43"
"SEZIONE 332";"";"17,81";"39,47";"44,23";"56,38"
"SEZIONE 333";"";"13,88";"35,70";"44,81";"58,16"
"SEZIONE 334";"";"13,16";"39,36";"45,42";"59,38"
"SEZIONE 335";"";"14,53";"40,60";"48,93";"62,82"
"SEZIONE 336";"";"16,69";"37,06";"42,58";"57,55"
"SEZIONE 337";"";"14,65";"35,25";"40,33";"53,32"
"SEZIONE 338";"";"15,29";"39,35";"45,49";"59,27"
"SEZIONE 339";"";"16,59";"40,83";"49,59";"62,03"
"SEZIONE 340";"";"14,14";"42,56";"49,40";"60,86"
"SEZIONE 341";"";"16,14";"38,44";"43,43";"56,91"
"SEZIONE 342";"";"18,21";"49,59";"54,48";"70,92"
"SEZIONE 343";"";"17,90";"44,81";"53,69";"69,40"
"SEZIONE 344";"";"21,48";"51,41";"56,78";"68,99"
"SEZIONE 345";"";"18,72";"51,51";"59,67";"72,99"
"SEZIONE 346";"";"17,43";"42,66";"51,53";"64,68"
"SEZIONE 347";"";"25,23";"53,06";"59,95";"74,38"
