"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 191";"";"18,70";"41,78";"44,95";"56,11"
"SEZIONE 192";"";"16,71";"39,00";"44,01";"56,27"
"SEZIONE 193";"";"19,77";"45,49";"52,62";"62,50"
"SEZIONE 194";"";"20,54";"43,24";"49,37";"62,34"
"SEZIONE 195";"";"17,84";"39,28";"45,54";"58,82"
"SEZIONE 196";"";"19,61";"42,64";"47,55";"61,37"
"SEZIONE 197";"";"17,68";"40,40";"49,09";"65,24"
"SEZIONE 198";"";"14,85";"43,61";"50,56";"63,91"
"SEZIONE 199";"";"15,90";"37,91";"44,43";"56,11"
"SEZIONE 200";"";"20,22";"42,70";"48,46";"60,25"
"SEZIONE 201";"";"23,16";"46,84";"53,95";"69,74"
"SEZIONE 202";"";"13,82";"36,56";"41,78";"56,07"
"SEZIONE 203";"";"14,44";"31,11";"35,56";"47,50"
"SEZIONE 204";"";"16,26";"28,15";"30,94";"44,41"
"SEZIONE 205";"";"12,77";"31,76";"37,65";"49,24"
"SEZIONE 206";"";"15,72";"37,53";"42,14";"53,67"
"SEZIONE 207";"";"15,11";"34,89";"41,01";"54,32"
"SEZIONE 208";"";"20,82";"39,45";"42,60";"51,37"
"SEZIONE 209";"";"12,56";"30,37";"33,86";"44,83"
"SEZIONE 210";"";"16,25";"41,88";"45,21";"57,29"
"SEZIONE 211";"";"13,50";"32,64";"36,50";"48,39"
"SEZIONE 212";"";"20,16";"39,84";"46,34";"56,59"
"SEZIONE 213";"";"21,86";"43,72";"47,50";"62,31"
"SEZIONE 214";"";"16,92";"38,31";"43,78";"53,57"
"SEZIONE 215";"";"17,74";"39,47";"46,27";"61,69"
"SEZIONE 216";"";"18,53";"37,27";"41,34";"52,55"
"SEZIONE 217";"";"17,97";"45,42";"53,41";"64,39"
"SEZIONE 218";"";"15,86";"38,14";"44,29";"56,29"
"SEZIONE 219";"";"13,64";"33,55";"41,89";"54,25"
"SEZIONE 220";"";"18,87";"42,62";"45,05";"58,45"
"SEZIONE 221";"";"17,80";"38,39";"41,03";"51,60"
"SEZIONE 222";"";"16,02";"35,58";"39,97";"51,60"
