"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 206";"";"14,96";"52,21";"65,65";"74,20"
"SEZIONE 207";"";"15,11";"47,45";"55,96";"68,72"
"SEZIONE 208";"";"14,46";"50,25";"64,71";"76,93"
"SEZIONE 209";"";"12,46";"43,25";"54,15";"67,30"
"SEZIONE 210";"";"10,70";"41,81";"52,34";"61,54"
"SEZIONE 211";"";"11,50";"45,06";"55,21";"68,47"
"SEZIONE 212";"";"11,76";"40,38";"50,08";"63,28"
"SEZIONE 213";"";"14,07";"45,21";"54,79";"66,92"
"SEZIONE 214";"";"10,88";"42,01";"53,86";"67,49"
"SEZIONE 215";"";"11,12";"46,07";"57,19";"70,83"
"SEZIONE 216";"";"10,65";"42,44";"54,94";"70,22"
"SEZIONE 217";"";"11,52";"46,09";"57,87";"72,09"
"SEZIONE 218";"";"13,23";"47,98";"58,74";"73,09"
"SEZIONE 219";"";"11,09";"40,46";"53,34";"68,03"
"SEZIONE 220";"";"12,16";"42,49";"54,35";"66,97"
"SEZIONE 221";"";"9,87";"37,62";"50,31";"63,64"
"SEZIONE 222";"";"13,78";"37,99";"45,58";"57,24"
"SEZIONE 223";"";"8,56";"37,67";"44,69";"59,42"
"SEZIONE 224";"";"9,47";"41,50";"52,92";"64,07"
"SEZIONE 225";"";"12,84";"40,48";"50,00";"61,63"
"SEZIONE 226";"";"13,72";"47,65";"61,01";"73,65"
"SEZIONE 227";"";"10,31";"42,19";"53,13";"66,72"
"SEZIONE 228";"";"10,30";"43,78";"54,08";"66,52"
"SEZIONE 229";"";"9,27";"38,55";"47,64";"60,00"
"SEZIONE 230";"";"10,64";"41,75";"51,84";"66,85"
"SEZIONE 231";"";"12,71";"41,59";"56,23";"69,58"
"SEZIONE 232";"";"9,24";"39,36";"48,06";"63,19"
"SEZIONE 233";"";"10,72";"38,66";"49,03";"62,74"
"SEZIONE 234";"";"11,55";"39,04";"49,80";"62,75"
"SEZIONE 235";"";"11,04";"41,35";"46,29";"59,64"
"SEZIONE 236";"";"9,15";"35,74";"44,19";"60,92"
"SEZIONE 237";"";"8,58";"36,50";"45,99";"59,85"
"SEZIONE 238";"";"10,08";"40,49";"52,68";"67,48"
"SEZIONE 239";"";"7,98";"35,25";"43,60";"56,40"
"SEZIONE 240";"";"8,91";"38,96";"46,20";"61,22"
"SEZIONE 241";"";"12,31";"44,00";"55,54";"68,00"
"SEZIONE 242";"";"8,88";"38,72";"48,33";"62,45"
"SEZIONE 243";"";"8,70";"43,84";"54,89";"70,65"
"SEZIONE 244";"";"10,03";"40,82";"51,55";"68,50"
"SEZIONE 245";"";"7,14";"33,10";"51,79";"68,41"
"SEZIONE 246";"";"9,97";"42,09";"48,89";"64,08"
"SEZIONE 247";"";"10,00";"37,86";"46,79";"60,54"
"SEZIONE 248";"";"9,05";"34,40";"44,71";"56,13"
"SEZIONE 249";"";"10,06";"43,67";"53,49";"66,75"
"SEZIONE 250";"";"11,62";"39,50";"48,60";"61,06"
"SEZIONE 251";"";"10,35";"37,75";"44,29";"57,53"
"SEZIONE 252";"";"12,82";"44,86";"52,46";"64,83"
"SEZIONE 253";"";"9,13";"38,94";"46,93";"62,62"
"SEZIONE 254";"";"9,67";"38,28";"47,96";"61,31"
"SEZIONE 255";"";"12,53";"37,19";"50,84";"63,09"
"SEZIONE 256";"";"10,94";"37,06";"46,82";"57,41"
"SEZIONE 257";"";"10,94";"46,88";"57,08";"70,42"
"SEZIONE 258";"";"11,12";"41,09";"49,72";"65,72"
"SEZIONE 259";"";"8,61";"35,70";"49,49";"64,56"
"SEZIONE 260";"";"10,57";"48,54";"61,53";"74,52"
"SEZIONE 261";"";"12,40";"42,25";"53,88";"67,31"
"SEZIONE 262";"";"10,84";"47,39";"58,49";"71,54"
"SEZIONE 263";"";"10,36";"40,28";"51,68";"66,84"
"SEZIONE 264";"";"12,69";"42,96";"55,30";"69,27"
"SEZIONE 265";"";"9,36";"39,58";"51,44";"67,17"
"SEZIONE 266";"";"11,93";"43,30";"55,47";"68,39"
"SEZIONE 267";"";"11,83";"44,03";"52,86";"67,22"
"SEZIONE 268";"";"10,94";"40,41";"51,87";"64,86"
"SEZIONE 269";"";"12,31";"53,57";"63,92";"77,06"
"SEZIONE 270";"";"10,53";"46,07";"61,64";"76,42"
"SEZIONE 271";"";"13,63";"46,45";"57,86";"73,02"
"SEZIONE 272";"";"10,19";"41,89";"53,80";"66,71"
"SEZIONE 273";"";"10,26";"40,49";"48,45";"65,59"
"SEZIONE 274";"";"9,15";"40,78";"48,84";"63,10"
"SEZIONE 275";"";"10,88";"40,66";"48,46";"60,16"
"SEZIONE 276";"";"11,01";"40,79";"51,81";"68,59"
"SEZIONE 277";"";"10,94";"41,75";"52,69";"65,15"
"SEZIONE 278";"";"10,42";"46,18";"55,56";"70,66"
"SEZIONE 279";"";"8,92";"43,23";"53,23";"67,38"
"SEZIONE 280";"";"10,19";"41,15";"50,45";"65,73"
"SEZIONE 281";"";"9,80";"42,86";"53,64";"69,05"
"SEZIONE 282";"";"11,98";"45,36";"57,73";"70,62"
"SEZIONE 283";"";"10,19";"40,32";"51,22";"65,28"
"SEZIONE 284";"";"14,36";"46,55";"55,66";"72,38"
"SEZIONE 285";"";"16,78";"48,24";"61,35";"74,05"
"SEZIONE 286";"";"13,07";"47,32";"54,12";"69,67"
"SEZIONE 287";"";"11,38";"48,40";"64,26";"76,28"
"SEZIONE 288";"";"12,73";"46,18";"57,72";"69,95"
"SEZIONE 289";"";"13,98";"48,67";"57,71";"69,16"
"SEZIONE 290";"";"12,09";"43,81";"49,08";"64,58"
"SEZIONE 291";"";"15,55";"47,72";"58,85";"77,61"
"SEZIONE 292";"";"10,90";"47,20";"58,25";"73,31"
"SEZIONE 293";"";"12,95";"40,99";"51,13";"63,95"
"SEZIONE 294";"";"13,43";"44,35";"53,89";"67,49"
"SEZIONE 295";"";"11,16";"45,52";"59,34";"72,71"
"SEZIONE 296";"";"10,56";"44,44";"52,81";"66,80"
"SEZIONE 297";"";"10,49";"41,09";"49,57";"63,51"
"SEZIONE 298";"";"9,64";"42,60";"50,00";"64,53"
"SEZIONE 299";"";"14,15";"51,63";"62,36";"76,67"
"SEZIONE 300";"";"10,29";"43,54";"52,77";"66,09"
"SEZIONE 301";"";"12,56";"43,51";"55,87";"70,58"
"SEZIONE 302";"";"6,33";"32,64";"43,24";"58,59"
"SEZIONE 303";"";"10,54";"37,83";"44,78";"61,41"
"SEZIONE 304";"";"6,88";"33,18";"41,44";"57,03"
"SEZIONE 305";"";"9,71";"33,76";"41,24";"55,10"
"SEZIONE 306";"";"7,34";"28,44";"36,88";"50,95"
"SEZIONE 307";"";"7,36";"34,94";"43,64";"56,49"
"SEZIONE 308";"";"6,79";"34,39";"44,03";"58,60"
"SEZIONE 309";"";"7,53";"37,15";"47,95";"61,87"
"SEZIONE 310";"";"8,58";"34,19";"43,14";"57,72"
"SEZIONE 311";"";"13,62";"39,25";"47,13";"60,35"
"SEZIONE 312";"";"9,83";"38,31";"51,07";"64,86"
"SEZIONE 313";"";"10,73";"36,80";"47,36";"62,35"
"SEZIONE 314";"";"10,06";"41,02";"51,24";"63,31"
"SEZIONE 315";"";"12,90";"46,32";"54,09";"65,88"
"SEZIONE 316";"";"7,85";"34,45";"40,84";"58,58"
"SEZIONE 317";"";"8,78";"33,97";"44,95";"59,59"
"SEZIONE 318";"";"8,14";"32,10";"41,63";"54,69"
"SEZIONE 319";"";"12,13";"38,21";"46,01";"58,47"
"SEZIONE 320";"";"11,43";"40,48";"47,94";"59,21"
"SEZIONE 321";"";"12,93";"40,30";"50,92";"65,94"
"SEZIONE 322";"";"14,19";"46,41";"54,23";"68,42"
"SEZIONE 323";"";"8,84";"39,69";"45,12";"57,05"
"SEZIONE 324";"";"9,77";"37,46";"48,05";"62,87"
"SEZIONE 325";"";"10,77";"41,27";"49,92";"63,13"
"SEZIONE 326";"";"12,12";"46,14";"58,95";"73,42"
"SEZIONE 327";"";"13,87";"44,52";"53,25";"65,75"
"SEZIONE 328";"";"10,93";"45,52";"55,39";"70,86"
"SEZIONE 329";"";"11,96";"44,61";"54,95";"71,20"
"SEZIONE 330";"";"13,62";"43,55";"53,94";"67,92"
"SEZIONE 331";"";"10,50";"39,42";"50,22";"64,03"
"SEZIONE 332";"";"13,41";"46,13";"57,69";"78,11"
"SEZIONE 333";"";"12,40";"46,42";"57,30";"72,59"
"SEZIONE 334";"";"12,74";"44,69";"57,31";"73,70"
"SEZIONE 335";"";"10,87";"40,74";"50,23";"65,39"
"SEZIONE 336";"";"14,02";"47,15";"62,41";"76,05"
"SEZIONE 337";"";"14,44";"53,33";"63,19";"79,72"
"SEZIONE 338";"";"11,87";"49,57";"65,12";"80,54"
"SEZIONE 339";"";"16,56";"53,60";"66,50";"79,27"
"SEZIONE 340";"";"15,44";"50,49";"64,39";"79,28"
"SEZIONE 341";"";"13,30";"52,33";"66,30";"80,16"
"SEZIONE 342";"";"10,74";"45,62";"58,22";"69,89"
"SEZIONE 343";"";"14,09";"43,26";"51,30";"65,39"
"SEZIONE 344";"";"9,23";"41,95";"52,62";"63,38"
"SEZIONE 345";"";"13,25";"39,62";"48,09";"65,57"
"SEZIONE 346";"";"10,61";"39,77";"47,22";"59,97"
"SEZIONE 347";"";"11,26";"42,68";"54,17";"67,12"
"SEZIONE 348";"";"9,19";"35,01";"41,94";"55,29"
"SEZIONE 349";"";"9,80";"43,00";"53,08";"64,71"
"SEZIONE 350";"";"7,21";"32,58";"41,26";"54,07"
"SEZIONE 351";"";"10,85";"41,59";"48,82";"60,94"
"SEZIONE 352";"";"9,77";"47,27";"59,77";"72,41"
"SEZIONE 353";"";"11,07";"45,72";"55,99";"68,91"
"SEZIONE 354";"";"17,22";"46,72";"57,50";"72,12"
"SEZIONE 355";"";"14,54";"47,74";"56,93";"70,92"
"SEZIONE 356";"";"7,23";"34,25";"46,39";"57,37"
"SEZIONE 357";"";"9,75";"40,72";"58,96";"67,30"
"SEZIONE 358";"";"12,28";"44,22";"58,96";"74,28"
"SEZIONE 359";"";"12,90";"43,79";"55,41";"69,90"
"SEZIONE 360";"";"14,36";"49,17";"59,94";"74,31"
"SEZIONE 361";"";"13,75";"46,53";"59,77";"75,19"
"SEZIONE 362";"";"15,55";"51,38";"61,92";"74,57"
"SEZIONE 363";"";"10,83";"48,08";"59,71";"73,98"
"SEZIONE 364";"";"10,87";"38,90";"49,29";"65,04"
"SEZIONE 365";"";"10,63";"42,37";"51,31";"68,72"
"SEZIONE 366";"";"12,95";"49,05";"62,45";"76,71"
"SEZIONE 367";"";"11,66";"43,90";"54,28";"70,31"
"SEZIONE 368";"";"10,40";"40,12";"51,10";"65,55"
"SEZIONE 369";"";"12,26";"46,94";"51,84";"65,50"
"SEZIONE 370";"";"7,61";"34,95";"42,04";"54,67"
"SEZIONE 371";"";"12,01";"37,50";"45,13";"57,79"
"SEZIONE 372";"";"10,93";"38,85";"44,17";"57,75"
"SEZIONE 373";"";"13,83";"40,72";"50,83";"64,28"
"SEZIONE 374";"";"11,05";"45,13";"56,71";"73,16"
"SEZIONE 375";"";"13,39";"43,84";"52,05";"64,54"
"SEZIONE 376";"";"8,55";"41,96";"54,59";"68,75"
"SEZIONE 377";"";"9,34";"37,52";"45,89";"55,88"
"SEZIONE 378";"";"15,15";"41,65";"52,03";"64,80"
"SEZIONE 379";"";"11,61";"42,48";"55,01";"69,00"
"SEZIONE 380";"";"8,49";"39,12";"51,48";"72,33"
"SEZIONE 381";"";"9,56";"37,06";"46,97";"60,96"
"SEZIONE 382";"";"10,55";"36,08";"45,66";"58,33"
"SEZIONE 383";"";"13,29";"48,63";"58,22";"72,74"
"SEZIONE 384";"";"10,14";"44,83";"53,40";"67,71"
"SEZIONE 385";"";"10,43";"41,98";"51,63";"66,62"
"SEZIONE 386";"";"8,26";"37,94";"47,23";"58,45"
"SEZIONE 387";"";"10,96";"34,01";"46,60";"59,07"
"SEZIONE 388";"";"10,14";"39,60";"53,43";"68,00"
"SEZIONE 389";"";"12,27";"36,97";"44,12";"56,05"
"SEZIONE 390";"";"10,79";"38,85";"47,19";"61,73"
"SEZIONE 391";"";"10,41";"40,10";"51,54";"63,82"
"SEZIONE 392";"";"11,01";"40,37";"50,98";"63,17"
"SEZIONE 393";"";"10,74";"40,94";"48,72";"63,09"
"SEZIONE 394";"";"9,13";"39,81";"50,12";"63,70"
"SEZIONE 395";"";"17,22";"46,36";"61,06";"70,86"
"SEZIONE 396";"";"12,26";"45,85";"56,83";"72,67"
"SEZIONE 397";"";"12,36";"48,61";"59,27";"73,58"
"SEZIONE 398";"";"12,25";"43,14";"57,35";"72,06"
"SEZIONE 399";"";"11,87";"40,20";"51,22";"65,81"
"SEZIONE 400";"";"13,34";"42,43";"52,32";"67,62"
"SEZIONE 401";"";"12,35";"39,61";"51,20";"69,13"
"SEZIONE 402";"";"12,66";"47,59";"58,73";"73,04"
"SEZIONE 403";"";"9,09";"44,62";"58,32";"71,33"
"SEZIONE 404";"";"11,54";"40,71";"51,44";"65,22"
"SEZIONE 405";"";"13,21";"43,08";"53,21";"67,18"
"SEZIONE 406";"";"11,62";"43,77";"53,54";"67,51"
"SEZIONE 407";"";"15,27";"44,66";"57,89";"72,65"
"SEZIONE 408";"";"12,56";"47,67";"61,16";"73,26"
"SEZIONE 409";"";"7,68";"35,48";"44,70";"55,91"
"SEZIONE 410";"";"10,75";"43,14";"51,91";"66,62"
"SEZIONE 411";"";"10,69";"41,68";"50,11";"61,99"
"SEZIONE 412";"";"9,50";"39,70";"51,03";"66,70"
"SEZIONE 413";"";"11,14";"44,70";"57,22";"69,88"
"SEZIONE 414";"";"8,58";"38,74";"51,01";"66,98"
"SEZIONE 415";"";"11,68";"42,04";"49,04";"62,00"
