"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"Sezione 279";"";"20,08";"50,21";"60,04";"78,24"
"Sezione 280";"";"21,47";"51,60";"60,58";"76,28"
"Sezione 281";"";"27,99";"51,57";"60,41";"73,66"
"Sezione 282";"";"17,43";"47,13";"57,85";"71,46"
"Sezione 283";"";"16,37";"46,44";"53,38";"72,06"
"Sezione 284";"";"18,63";"51,07";"60,60";"73,97"
"Sezione 285";"";"20,39";"52,70";"62,14";"77,12"
"Sezione 286";"";"43,14";"60,48";"62,14";"81,60"
"Sezione 287";"";"23,63";"51,78";"64,48";"81,56"
"Sezione 288";"";"21,72";"53,60";"65,55";"79,05"
"Sezione 289";"";"22,51";"51,77";"61,09";"77,01"
"Sezione 290";"";"21,63";"47,96";"57,37";"71,63"
"Sezione 291";"";"19,21";"52,88";"60,59";"74,05"
"Sezione 292";"";"21,32";"46,08";"54,39";"68,97"
"Sezione 293";"";"20,13";"54,92";"63,02";"77,02"
"Sezione 294";"";"19,65";"50,39";"61,87";"78,60"
"Sezione 295";"";"17,99";"47,75";"55,82";"71,28"
"Sezione 296";"";"25,20";"55,72";"64,31";"76,98"
"Sezione 297";"";"22,36";"54,44";"58,89";"72,92"
"Sezione 298";"";"20,47";"48,49";"56,46";"68,96"
"Sezione 299";"";"16,74";"51,22";"70,82";"74,68"
"Sezione 300";"";"20,92";"51,60";"59,00";"71,27"
"Sezione 301";"";"16,78";"48,01";"55,08";"65,56"
"Sezione 302";"";"20,68";"49,56";"58,01";"74,40"
"Sezione 303";"";"20,15";"43,33";"49,85";"64,39"
"Sezione 304";"";"25,89";"56,63";"65,56";"77,17"
"Sezione 305";"";"20,52";"52,12";"58,37";"69,46"
"Sezione 306";"";"20,08";"55,33";"65,59";"78,45"
"Sezione 307";"";"17,62";"51,74";"62,81";"75,41"
"Sezione 308";"";"18,43";"50,63";"58,08";"66,79"
"Sezione 309";"";"12,04";"33,60";"42,17";"53,03"
"Sezione 310";"";"20,44";"49,93";"56,74";"70,37"
"Sezione 311";"";"20,76";"42,72";"48,69";"60,38"
"Sezione 312";"";"20,44";"45,13";"50,94";"64,47"
"Sezione 313";"";"14,55";"40,61";"47,21";"58,71"
"Sezione 314";"";"20,40";"48,88";"57,17";"72,76"
"Sezione 315";"";"22,69";"48,08";"54,23";"68,27"
"Sezione 316";"";"21,12";"42,74";"49,45";"64,10"
"Sezione 317";"";"19,48";"53,80";"60,93";"71,73"
"Sezione 318";"";"23,50";"51,92";"59,00";"74,93"
"Sezione 319";"";"20,46";"51,55";"57,74";"73,89"
"Sezione 320";"";"23,59";"56,03";"62,33";"62,33"
"Sezione 321";"";"22,25";"54,22";"60,10";"73,02"
"Sezione 322";"";"20,97";"48,39";"55,59";"68,39"
"Sezione 323";"";"17,53";"42,53";"49,32";"62,09"
"Sezione 324";"";"19,20";"48,14";"54,15";"66,76"
"Sezione 325";"";"21,39";"48,30";"56,40";"69,21"
"Sezione 326";"";"16,31";"40,10";"45,42";"60,40"
"Sezione 327";"";"21,53";"50,61";"57,60";"67,29"
"Sezione 328";"";"19,54";"49,16";"54,68";"67,75"
"Sezione 329";"";"19,66";"50,98";"56,46";"71,35"
"Sezione 330";"";"21,59";"48,73";"56,67";"69,12"
"Sezione 331";"";"22,15";"49,68";"57,91";"70,09"
"Sezione 332";"";"20,31";"54,72";"57,69";"68,69"
"Sezione 333";"";"18,79";"50,61";"57,27";"70,15"
"Sezione 334";"";"17,64";"45,30";"51,90";"67,26"
"Sezione 335";"";"15,63";"45,49";"52,68";"62,96"
"Sezione 336";"";"18,11";"45,92";"50,32";"64,04"
"Sezione 337";"";"20,83";"46,48";"50,62";"62,90"
"Sezione 338";"";"18,90";"43,52";"49,12";"61,96"
"Sezione 339";"";"17,95";"45,04";"53,54";"64,25"
"Sezione 340";"";"19,97";"52,25";"60,66";"73,12"
"Sezione 341";"";"15,83";"47,01";"55,10";"67,53"
"Sezione 342";"";"21,36";"50,82";"58,27";"69,33"
"Sezione 343";"";"25,30";"54,73";"61,89";"75,76"
"Sezione 344";"";"18,14";"45,98";"53,77";"66,28"
"Sezione 345";"";"16,53";"45,11";"53,85";"66,11"
"Sezione 346";"";"23,19";"50,11";"56,89";"71,23"
"Sezione 347";"";"17,22";"43,32";"48,77";"59,67"
"Sezione 348";"";"13,85";"38,85";"44,69";"59,17"
"Sezione 349";"";"15,70";"43,16";"49,78";"61,88"
"Sezione 350";"";"16,51";"48,07";"55,69";"68,13"
"Sezione 351";"";"19,00";"47,57";"53,29";"63,57"
"Sezione 352";"";"19,32";"46,75";"50,97";"62,99"
"Sezione 353";"";"10,71";"25,03";"30,51";"40,10"
"Sezione 354";"";"20,52";"54,82";"66,14";"78,92"
"Sezione 355 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"Sezione 356 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"Sezione 357 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"Sezione 358 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"Sezione 359 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"Sezione 360 (Sezione ospedaliera)";"";"-";"-";"-";"-"
