"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 321";"";"13,07";"35,22";"38,87"
"SEZIONE 322";"";"9,58";"25,57";"29,98"
"SEZIONE 323";"";"8,51";"23,91";"28,39"
"SEZIONE 324";"";"6,84";"17,43";"22,57"
"SEZIONE 325";"";"12,17";"27,88";"32,07"
"SEZIONE 326";"";"7,34";"26,42";"31,03"
"SEZIONE 327";"";"9,83";"21,88";"25,84"
"SEZIONE 328";"";"14,61";"40,34";"49,21"
"SEZIONE 329";"";"9,14";"31,88";"36,85"
"SEZIONE 330";"";"6,53";"22,70";"26,58"
"SEZIONE 331";"";"7,07";"25,51";"30,30"
"SEZIONE 332";"";"9,46";"24,06";"27,14"
"SEZIONE 333";"";"9,68";"30,07";"33,64"
"SEZIONE 334";"";"9,57";"24,49";"30,18"
"SEZIONE 335";"";"4,95";"13,04";"15,37"
"SEZIONE 336";"";"11,74";"36,03";"40,14"
"SEZIONE 337";"";"4,46";"15,46";"16,70"
"SEZIONE 338";"";"8,04";"21,92";"25,69"
"SEZIONE 339";"";"12,22";"29,19";"32,09"
"SEZIONE 340";"";"10,64";"29,02";"32,53"
"SEZIONE 341";"";"8,38";"33,38";"38,24"
"SEZIONE 342";"";"6,90";"23,82";"27,50"
"SEZIONE 343";"";"12,97";"31,27";"34,30"
"SEZIONE 344";"";"14,29";"37,64";"41,74"
"SEZIONE 345";"";"9,24";"25,96";"32,23"
"SEZIONE 346";"";"18,77";"45,31";"51,88"
"SEZIONE 347";"";"10,19";"26,54";"30,86"
"SEZIONE 348";"";"9,58";"25,93";"29,41"
"SEZIONE 349";"";"10,33";"29,83";"35,30"
"SEZIONE 350";"";"21,32";"45,95";"51,43"
"SEZIONE 351";"";"15,38";"42,39";"48,61"
"SEZIONE 352";"";"9,34";"27,34";"32,97"
"SEZIONE 353";"";"17,62";"42,08";"47,53"
"SEZIONE 354";"";"6,32";"17,52";"20,86"
"SEZIONE 355";"";"18,92";"41,81";"48,19"
"SEZIONE 356";"";"8,85";"31,19";"35,29"
"SEZIONE 357";"";"18,44";"44,36";"45,94"
"SEZIONE 358";"";"17,39";"44,27";"51,05"
"SEZIONE 359";"";"8,17";"24,79";"28,47"
"SEZIONE 360";"";"14,76";"39,91";"45,67"
"SEZIONE 361";"";"12,89";"33,37";"40,16"
"SEZIONE 362";"";"7,02";"28,06";"32,67"
"SEZIONE 363";"";"20,65";"50,12";"58,09"
"SEZIONE 364";"";"21,17";"46,54";"52,83"
"SEZIONE 365";"";"17,56";"43,83";"47,61"
"SEZIONE 366";"";"9,20";"27,30";"30,30"
"SEZIONE 367";"";"16,64";"40,61";"44,54"
"SEZIONE 368";"";"11,74";"27,40";"31,82"
"SEZIONE 369";"";"15,16";"40,12";"45,22"
"SEZIONE 370";"";"7,38";"24,23";"29,40"
"SEZIONE 371";"";"11,07";"32,36";"36,70"
"SEZIONE 372";"";"12,48";"32,45";"37,89"
"SEZIONE 373";"";"5,41";"15,32";"18,47"
"SEZIONE 374";"";"9,45";"29,40";"34,78"
"SEZIONE 375";"";"13,27";"37,33";"42,95"
"SEZIONE 376";"";"12,58";"34,35";"39,35"
"SEZIONE 377";"";"8,64";"24,73";"30,39"
"SEZIONE 378";"";"8,62";"23,85";"28,62"
"SEZIONE 379";"";"10,92";"27,51";"30,79"
"SEZIONE 380";"";"9,97";"25,03";"28,84"
"SEZIONE 381";"";"11,55";"34,97";"41,82"
"SEZIONE 382";"";"9,96";"25,49";"32,28"
"SEZIONE 383";"";"9,82";"30,30";"34,61"
"SEZIONE 384";"";"11,95";"31,91";"35,96"
"SEZIONE 385";"";"14,30";"31,94";"38,99"
"SEZIONE 386";"";"13,31";"32,34";"36,44"
"SEZIONE 387";"";"12,06";"30,06";"34,14"
"SEZIONE 388";"";"12,33";"29,36";"35,27"
"SEZIONE 389";"";"12,24";"34,72";"38,98"
"SEZIONE 390";"";"11,03";"35,44";"40,53"
"SEZIONE 391";"";"13,64";"38,38";"44,97"
"SEZIONE 392";"";"18,37";"46,43";"52,76"
"SEZIONE 393";"";"19,55";"39,89";"45,18"
"SEZIONE 394";"";"20,23";"43,74";"48,04"
"SEZIONE 395";"";"17,20";"41,26";"47,39"
"SEZIONE 396";"";"17,94";"43,65";"50,15"
"SEZIONE 397";"";"13,27";"38,47";"42,86"
"SEZIONE 398";"";"13,25";"36,23";"42,34"
"SEZIONE 399";"";"4,17";"9,95";"11,23"
"SEZIONE 400";"";"12,39";"34,07";"39,97"
"SEZIONE 401";"";"16,33";"40,82";"44,61"
"SEZIONE 402";"";"6,03";"19,50";"21,77"
"SEZIONE 403";"";"20,40";"47,20";"54,20"
"SEZIONE 404";"";"25,89";"49,70";"56,51"
"SEZIONE 405";"";"21,37";"51,99";"56,82"
"SEZIONE 406";"";"4,64";"15,47";"17,02"
"SEZIONE 407";"";"18,22";"45,03";"60,24"
"SEZIONE 408";"";"14,23";"36,47";"40,91"
"SEZIONE 409";"";"14,30";"36,74";"42,56"
"SEZIONE 410";"";"4,52";"11,02";"12,01"
"SEZIONE 411";"";"17,90";"45,84";"50,74"
"SEZIONE 412";"";"14,81";"41,34";"48,63"
"SEZIONE 413";"";"13,85";"39,11";"43,64"
"SEZIONE 414";"";"13,87";"36,90";"40,90"
"SEZIONE 415";"";"13,53";"39,47";"46,24"
"SEZIONE 416";"";"11,79";"31,68";"38,67"
"SEZIONE 417";"";"6,81";"17,94";"23,92"
"SEZIONE 418";"";"12,68";"30,78";"36,86"
"SEZIONE 419";"";"9,78";"31,31";"35,84"
"SEZIONE 420";"";"9,45";"31,76";"36,86"
"SEZIONE 421";"";"6,62";"23,22";"27,57"
"SEZIONE 422";"";"17,17";"43,31";"53,54"
"SEZIONE 423";"";"8,07";"22,03";"26,30"
"SEZIONE 424";"";"12,85";"34,06";"38,30"
"SEZIONE 425";"";"7,03";"25,32";"28,57"
"SEZIONE 426";"";"15,93";"40,33";"45,93"
"SEZIONE 427";"";"8,45";"25,09";"28,57"
"SEZIONE 428";"";"19,43";"45,53";"50,66"
"SEZIONE 429";"";"20,22";"49,94";"54,86"
"SEZIONE 430";"";"12,87";"30,30";"36,51"
"SEZIONE 431";"";"11,92";"34,19";"40,70"
"SEZIONE 432";"";"17,71";"40,48";"46,73"
"SEZIONE 433";"";"12,24";"29,99";"35,79"
"SEZIONE 434";"";"13,10";"35,76";"41,89"
"SEZIONE 435";"";"14,05";"39,86";"46,62"
"SEZIONE 436";"";"22,26";"48,59";"53,75"
"SEZIONE 437";"";"9,61";"28,63";"33,13"
"SEZIONE 438";"";"10,92";"28,42";"32,37"
"SEZIONE 439";"";"11,22";"31,99";"36,59"
"SEZIONE 440";"";"10,22";"23,62";"28,45"
"SEZIONE 441";"";"11,69";"27,13";"31,02"
"SEZIONE 442";"";"6,55";"20,40";"24,69"
"SEZIONE 443";"";"6,65";"22,25";"25,00"
"SEZIONE 444";"";"11,65";"31,06";"37,18"
"SEZIONE 445";"";"20,10";"43,24";"49,33"
"SEZIONE 446";"";"9,80";"31,05";"33,88"
"SEZIONE 447";"";"7,14";"23,71";"25,71"
"SEZIONE 448";"";"15,80";"39,15";"44,64"
"SEZIONE 449";"";"8,11";"25,13";"31,23"
"SEZIONE 450";"";"11,00";"29,55";"34,36"
"SEZIONE 451";"";"10,58";"31,42";"37,60"
"SEZIONE 452";"";"18,18";"43,40";"49,24"
"SEZIONE 453";"";"11,03";"36,50";"41,83"
"SEZIONE 454";"";"11,45";"30,90";"38,80"
"SEZIONE 455";"";"7,53";"23,22";"28,03"
"SEZIONE 456";"";"11,80";"37,36";"45,41"
"SEZIONE 457";"";"7,55";"18,87";"21,64"
"SEZIONE 458";"";"5,62";"22,76";"27,49"
"SEZIONE 459";"";"12,48";"32,62";"36,11"
"SEZIONE 460";"";"10,78";"30,82";"34,91"
"SEZIONE 461";"";"12,00";"31,82";"37,82"
"SEZIONE 462";"";"14,18";"37,92";"42,96"
"SEZIONE 463";"";"16,04";"44,79";"52,00"
"SEZIONE 464";"";"23,88";"56,09";"62,73"
"SEZIONE 465";"";"22,94";"44,61";"50,75"
"SEZIONE 466";"";"13,38";"40,86";"46,27"
"SEZIONE 467";"";"18,82";"45,30";"50,13"
"SEZIONE 468";"";"12,13";"33,63";"38,37"
"SEZIONE 469";"";"13,16";"37,25";"46,42"
"SEZIONE 470";"";"19,66";"49,16";"58,44"
"SEZIONE 471";"";"12,22";"29,60";"35,39"
"SEZIONE 472";"";"12,39";"32,61";"35,74"
"SEZIONE 473";"";"7,23";"20,86";"24,24"
"SEZIONE 474";"";"13,81";"35,03";"39,12"
"SEZIONE 475";"";"5,11";"16,45";"17,73"
"SEZIONE 476";"";"7,44";"21,62";"25,51"
"SEZIONE 477";"";"6,33";"17,27";"21,59"
"SEZIONE 478";"";"14,51";"37,84";"44,41"
"SEZIONE 479";"";"18,60";"48,14";"56,63"
"SEZIONE 480";"";"4,67";"12,35";"13,23"
"SEZIONE 481";"";"12,34";"35,73";"42,80"
"SEZIONE 482";"";"12,33";"32,69";"36,70"
"SEZIONE 483";"";"6,12";"22,39";"25,17"
"SEZIONE 484 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 485 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 486 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 487 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 488 (Sezione ospedaliera)";"";"-";"-";"-"
"SEZIONE 489";"";"7,68";"22,61";"24,82"
"SEZIONE 490";"";"9,49";"28,25";"32,43"
