SEZIONE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,+EUROPA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,VITA,AZIONE - ITALIA VIVA - CALENDA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,MASTELLA NOI DI CENTRO EUROPEISTI,TOTALE,AFFLUENZA
292,11,2,13,29,3,103,6,33,1,23,12,30,8,6,0,305,0.726190476
293,19,4,28,53,0,136,13,32,7,37,7,38,6,11,1,420,0.726643599
294,21,7,30,77,3,154,17,52,5,31,17,64,12,9,0,529,0.705333333
295,11,7,16,41,2,66,6,47,3,11,24,48,13,1,0,322,0.512738854
296,21,6,25,52,3,95,7,52,1,26,15,54,17,8,0,429,0.575838926
297,9,8,21,23,2,116,6,61,0,34,20,67,14,12,0,419,0.697171381
298,21,6,23,49,5,112,5,62,5,35,22,77,19,4,0,481,0.686162625
299,14,10,15,43,3,117,7,54,4,21,26,65,12,4,0,419,0.662974684
300,8,5,18,12,3,52,4,56,1,14,41,73,16,2,0,330,0.589285714
301,9,3,14,25,4,63,10,66,1,9,21,56,14,2,0,325,0.520833333
302,7,1,10,22,4,63,9,57,5,17,21,52,13,4,0,320,0.46852123
303,13,9,18,44,0,111,6,64,2,18,20,41,12,4,0,407,0.573239437
304,13,5,9,33,1,121,7,67,4,19,33,62,6,3,1,420,0.592383639
305,8,15,12,25,2,109,15,87,3,17,39,102,27,5,1,497,0.585394582
306,12,13,20,16,2,93,10,61,1,11,44,74,22,6,0,413,0.549933422
307,4,6,8,18,0,45,8,44,1,4,25,50,10,3,1,256,0.482109228
308,2,18,22,17,3,86,5,84,3,14,44,79,23,5,2,433,0.609001406
309,0,5,8,7,2,49,7,50,0,13,26,66,10,4,0,284,0.583162218
310,4,4,22,25,0,96,5,99,6,17,37,68,11,7,0,442,0.661676647
311,7,5,10,20,3,74,12,94,6,9,24,81,8,6,0,393,0.633870968
312,2,3,16,21,1,84,6,67,3,21,44,106,21,7,0,433,0.569736842
313,6,14,14,19,6,130,7,79,1,26,31,84,14,7,0,482,0.630065359
314,7,7,10,19,0,85,4,53,0,14,16,57,9,3,0,311,0.683516484
315,7,7,11,7,0,80,8,58,7,36,18,47,10,6,0,321,0.55826087
316,3,9,12,19,1,75,4,53,2,9,17,49,15,5,0,299,0.567362429
